x
DnaJ-1 Hsp83
RpL35 RpS8
RpL35A RpS10b
RpL35A RpS12
RpL35A RpS15
RpL36A RpS15
RpL36A RpS21
RpL36A RpS23
RpL36A RpS26
RpL36A RpS28b
RpL36A RpS29
RpL36A RpS30
RpL36A RpS8
RpL39 RpS21
RpL39 RpS29
RpL4 RpS15Aa
RpL4 RpS16
RpL4 RpS28b
RpL4 RpS6
RpL6 RpL7
RpL6 RpL7A
RpL6 RpLP1
RpL6 RpS10b
RpL6 RpS15
RpL6 RpS16
RpL6 RpS19a
RpL6 RpS21
RpL6 RpS28b
RpL6 RpS3
RpL6 RpS30
RpL6 RpS3A
RpL6 RpS8
RpL6 sta
RpL7 RpL7A
RpL7 RpL8
RpL7 RpLP1
RpL7 RpS10b
RpL7 RpS15
RpL7 RpS15Aa
RpL7 RpS16
RpL7 RpS17
RpL7 RpS19a
RpL7 RpS2
RpL7 RpS21
RpL7 RpS24
RpL7 RpS28b
RpL7 RpS29
RpL7 RpS30
RpL7 RpS8
RpL7 sta
RpL7A RpL8
RpL7A RpLP1
RpL7A RpS10b
RpL7A RpS11
RpL7A RpS15
RpL7A RpS16
RpL7A RpS17
RpL7A RpS23
RpL7A RpS3
RpL7A RpS30
RpL7A RpS8
RpL7A RpS9
RpL7A sta
RpL8 RpS10b
RpL8 RpS11
RpL8 RpS15
RpL8 RpS17
RpL8 sta
RpL9 RpS10b
RpL9 RpS11
RpL9 RpS15
RpL9 RpS16
RpL9 RpS17
RpL9 RpS21
RpL9 RpS23
RpL9 RpS3
RpL9 RpS30
RpL9 RpS8
RpLP0 RpS10b
RpLP0 RpS15
RpLP0 RpS29
RpLP1 RpS10b
RpLP1 RpS11
RpLP1 RpS12
RpLP1 RpS15
RpLP1 RpS15Aa
RpLP1 RpS16
RpLP1 RpS19a
RpLP1 RpS2
RpLP1 RpS20
RpLP1 RpS21
RpLP1 RpS24
RpLP1 RpS28b
RpLP1 RpS29
RpLP1 RpS3
RpLP1 RpS30
RpLP1 RpS4
RpLP1 RpS8
RpLP1 sta
RpLP2 RpS15
RpLP2 RpS29
RpS10b RpS12
RpS10b RpS15
RpS10b RpS16
RpS10b RpS19a
RpS10b RpS2
RpS10b RpS20
RpS10b RpS21
RpS10b RpS23
RpS10b RpS24
RpS10b RpS28b
RpS10b RpS29
RpS10b RpS3
RpS10b RpS30
RpS10b RpS4
RpS10b RpS9
RpS10b sta
RpS11 RpS15
RpS11 RpS16
RpS11 RpS20
RpS11 RpS21
RpS11 RpS29
RpS11 RpS3
RpS11 RpS30
RpS11 RpS8
RpS11 RpS9
RpS11 sta
RpS12 RpS16
RpS12 RpS20
RpS12 RpS21
RpS12 RpS24
RpS12 RpS26
RpS12 RpS28b
RpS12 RpS4
RpS12 sta
RpS14a RpS15
RpS14a RpS17
RpS14a RpS28b
RpS14a RpS8
RpS15 RpS15Aa
RpS15 RpS16
RpS15 RpS17
RpS15 RpS19a
RpS15 RpS2
RpS15 RpS20
RpS15 RpS21
RpS15 RpS23
RpS15 RpS26
RpS15 RpS28b
RpS15 RpS29
RpS15 RpS3
RpS15 RpS30
RpS15 RpS4
RpS15 RpS8
RpS15 sta
RpS15Aa RpS16
RpS15Aa RpS26
RpS15Aa RpS28b
RpS15Aa RpS30
RpS15Aa RpS4
RpS16 RpS17
RpS16 RpS20
RpS16 RpS21
RpS16 RpS23
RpS16 RpS24
RpS16 RpS28b
RpS16 RpS29
RpS16 RpS3
RpS16 RpS30
RpS16 RpS6
RpS16 RpS8
RpS16 RpS9
RpS16 sta
RpS17 RpS23
RpS17 RpS26
RpS17 RpS28b
RpS17 RpS29
RpS17 RpS3
RpS17 RpS30
RpS17 RpS4
RpS17 RpS8
RpS17 RpS9
RpS19a RpS29
RpS19a RpS30
RpS2 RpS3
RpS20 RpS21
RpS20 RpS24
RpS20 RpS28b
RpS20 RpS29
RpS20 sta
RpS21 RpS23
RpS21 RpS24
RpS21 RpS28b
RpS21 RpS29
RpS21 RpS3
RpS21 RpS30
RpS23 RpS26
RpS23 RpS28b
RpS23 RpS29
RpS23 RpS3
RpS23 RpS30
RpS23 RpS8
RpS25 RpS26
RpS26 RpS28b
RpS26 RpS30
RpS26 RpS8
RpS26 RpS9
RpS27A RpS29
RpS27A RpS4
RpS27A RpS9
RpS28b RpS29
RpS28b RpS3
RpS28b RpS30
RpS28b RpS4
RpS28b sta
RpS29 sta
RpS3 RpS4
RpS3 RpS8
RpS3 RpS9
RpS30 RpS8
RpS4 RpS9
RpS4 sta
