from,to
RpL17,RpS26
RpL17,RpS27A
RpL17,RpS28b
RpL17,RpS29
RpL17,RpS3
RpL17,RpS3A
RpL17,RpS4
RpL17,sta
RpL18,RpL21
RpL18,RpL23A
RpL18,RpL26
RpL18,RpL27
RpL18,RpL28
RpL18,RpL3
RpL18,RpL31
RpL18,RpL32
RpL18,RpL5
RpL18,RpL7A
RpL18,RpL8
RpL18,RpL9
RpL18,RpS15Aa
RpL18,RpS16
RpL18,RpS17
RpL18,RpS23
RpL18,RpS25
RpL18,RpS26
RpL18,RpS3
RpL18,RpS30
RpL18,RpS8
RpL18,RpS9
RpL18,sta
RpL18A,RpL21
RpL18A,RpL23A
RpL18A,RpL26
RpL18A,RpL28
RpL18A,RpL31
RpL18A,RpL34b
RpL18A,RpL35
RpL18A,RpL36A
RpL18A,RpL39
RpL18A,RpL40
RpL18A,RpL6
RpL18A,RpL7
RpL18A,RpL7A
RpL18A,RpL8
RpL18A,RpL9
RpL18A,RpLP1
RpL18A,RpS10b
RpL18A,RpS11
RpL18A,RpS15
RpL18A,RpS15Aa
RpL18A,RpS16
RpL18A,RpS20
RpL18A,RpS21
RpL18A,RpS25
RpL18A,RpS26
RpL18A,RpS27A
RpL18A,RpS29
RpL18A,RpS3
RpL18A,RpS3A
RpL18A,RpS4
RpL18A,RpS8
RpL18A,sta
RpL21,RpL23A
RpL21,RpL26
RpL21,RpL31
RpL21,RpL32
RpL21,RpL34b
RpL21,RpL35
RpL21,RpL35A
RpL21,RpL36A
RpL21,RpL39
RpL21,RpL4
RpL21,RpL40
RpL21,RpL6
RpL21,RpL7
RpL21,RpL7A
RpL21,RpL9
RpL21,RpLP1
RpL21,RpLP2
RpL21,RpS10b
RpL21,RpS11
RpL21,RpS15
RpL21,RpS16
RpL21,RpS17
RpL21,RpS20
RpL21,RpS21
RpL21,RpS23
RpL21,RpS24
RpL21,RpS25
RpL21,RpS26
RpL21,RpS27A
RpL21,RpS28b
RpL21,RpS29
RpL21,RpS3
RpL21,RpS30
RpL21,RpS3A
RpL21,RpS8
RpL21,RpS9
RpL21,sta
RpL23A,RpL27
RpL23A,RpL29
RpL23A,RpL31
RpL23A,RpL35A
RpL23A,RpL36A
RpL23A,RpL4
RpL23A,RpL40
RpL23A,RpL6
RpL23A,RpL7
RpL23A,RpL9
RpL23A,RpLP1
RpL23A,RpS10b
RpL23A,RpS15
RpL23A,RpS16
RpL23A,RpS21
RpL23A,RpS26
RpL23A,RpS27A
RpL23A,RpS29
RpL23A,sta
RpL26,RpL27
RpL26,RpL28
RpL26,RpL29
RpL26,RpL31
RpL26,RpL32
RpL26,RpL34b
RpL26,RpL35
RpL26,RpL35A
RpL26,RpL36A
RpL26,RpL39
RpL26,RpL40
RpL26,RpL41
RpL26,RpL6
RpL26,RpL7
RpL26,RpL7A
RpL26,RpL9
RpL26,RpLP1
RpL26,RpS10b
RpL26,RpS11
RpL26,RpS15
RpL26,RpS15Aa
RpL26,RpS16
RpL26,RpS2
RpL26,RpS21
RpL26,RpS24
RpL26,RpS25
RpL26,RpS26
RpL26,RpS27A
RpL26,RpS28b
RpL26,RpS29
RpL26,RpS30
RpL26,RpS4
RpL26,RpS8
RpL26,sta
RpL27,RpL29
RpL27,RpL31
RpL27,RpL32
RpL27,RpL34b
RpL27,RpL35A
RpL27,RpL36A
RpL27,RpL41
RpL27,RpL6
RpL27,RpL7
RpL27,RpL7A
RpL27,RpL9
RpL27,RpLP2
RpL27,RpS16
RpL27,RpS17
RpL27,RpS21
RpL27,RpS24
RpL27,RpS25
RpL27,RpS26
RpL27,RpS3
RpL27,RpS30
RpL27,RpS3A
RpL28,RpL29
RpL28,RpL3
RpL28,RpL31
RpL28,RpL32
RpL28,RpL35
RpL28,RpL39
RpL28,RpL4
RpL28,RpL41
RpL28,RpL6
RpL28,RpL7A
RpL28,RpL9
RpL28,RpLP1
RpL28,RpLP2
RpL28,RpS10b
RpL28,RpS11
RpL28,RpS15
RpL28,RpS16
RpL28,RpS2
RpL28,RpS20
RpL28,RpS26
RpL28,RpS29
RpL28,RpS30
RpL28,RpS3A
RpL28,RpS4
RpL28,RpS6
RpL28,RpS8
RpL29,RpL32
RpL29,RpL35
RpL29,RpL40
RpL29,RpL8
RpL29,RpLP1
RpL29,RpS16
RpL29,RpS20
RpL29,RpS25
RpL29,RpS29
RpL29,RpS3
RpL29,RpS30
RpL29,sta
RpL3,RpL36A
RpL3,RpL7
RpL3,RpL7A
RpL3,RpS27A
RpL3,RpS4
RpL3,sta
RpL31,RpL32
RpL31,RpL35
RpL31,RpL36A
RpL31,RpL39
RpL31,RpL41
RpL31,RpL7
RpL31,RpL8
RpL31,RpL9
RpL31,RpLP0
RpL31,RpLP1
RpL31,RpLP2
