from,to,edge
14-3-3zeta,RpL27A,1
14-3-3zeta,RpL28,1
14-3-3zeta,RpL3,1
14-3-3zeta,RpL31,1
14-3-3zeta,RpL32,1
14-3-3zeta,RpL34b,1
14-3-3zeta,RpL35,1
14-3-3zeta,RpL36A,1
14-3-3zeta,RpL38,1
14-3-3zeta,RpL4,1
14-3-3zeta,RpL5,1
14-3-3zeta,RpL6,1
14-3-3zeta,RpL7,1
14-3-3zeta,RpL7A,1
14-3-3zeta,RpL8,1
14-3-3zeta,RpL9,1
14-3-3zeta,RpLP0,1
14-3-3zeta,RpLP1,1
14-3-3zeta,RpS10b,1
14-3-3zeta,RpS11,1
14-3-3zeta,RpS12,1
14-3-3zeta,RpS14a,1
14-3-3zeta,RpS14b,1
14-3-3zeta,RpS15,1
14-3-3zeta,RpS15Aa,1
14-3-3zeta,RpS16,1
14-3-3zeta,RpS17,1
14-3-3zeta,RpS19a,1
14-3-3zeta,RpS2,1
14-3-3zeta,RpS20,1
14-3-3zeta,RpS21,1
14-3-3zeta,RpS24,1
14-3-3zeta,RpS26,1
14-3-3zeta,RpS28b,1
14-3-3zeta,RpS29,1
14-3-3zeta,RpS3,1
14-3-3zeta,RpS30,1
14-3-3zeta,RpS3A,1
14-3-3zeta,RpS4,1
14-3-3zeta,RpS5a,1
14-3-3zeta,RpS6,1
14-3-3zeta,RpS8,1
14-3-3zeta,RpS9,1
14-3-3zeta,Sap47,1
14-3-3zeta,sau,1
14-3-3zeta,Scgbeta,1
14-3-3zeta,Scsalpha1,1
14-3-3zeta,SelR,1
14-3-3zeta,Sema1a,1
14-3-3zeta,sesB,1
14-3-3zeta,Sh,1
14-3-3zeta,shakB,1
14-3-3zeta,shi,1
14-3-3zeta,ScsbetaA,1
14-3-3zeta,SkpA,1
14-3-3zeta,slo,1
14-3-3zeta,Smox,1
14-3-3zeta,Socs36E,1
14-3-3zeta,Sod1,1
14-3-3zeta,sqd,1
14-3-3zeta,sra,1
14-3-3zeta,ssx,1
14-3-3zeta,sta,1
14-3-3zeta,STUB1,1
14-3-3zeta,su(w[a]),1
14-3-3zeta,Syp,1
14-3-3zeta,Tctp,1
14-3-3zeta,TfIIA-S,1
14-3-3zeta,TM4SF,1
14-3-3zeta,Serinc,1
14-3-3zeta,Tpi,1
14-3-3zeta,Tsp42Ee,1
14-3-3zeta,Tsp42Ej,1
14-3-3zeta,Tsp97E,1
14-3-3zeta,Ubc10,1
14-3-3zeta,Ufd1,1
14-3-3zeta,unc-13,1
14-3-3zeta,Unr,1
14-3-3zeta,veli,1
14-3-3zeta,Vha100-1,1
14-3-3zeta,Vha13,1
14-3-3zeta,Vha14-1,1
14-3-3zeta,Vha16-1,1
14-3-3zeta,Vha36-1,1
14-3-3zeta,Vha44,1
14-3-3zeta,Vha55,1
14-3-3zeta,Vha68-1,1
14-3-3zeta,VhaAC39-1,1
14-3-3zeta,VhaAC45,1
14-3-3zeta,ATP6AP2,1
14-3-3zeta,VhaM9.7-a,1
14-3-3zeta,VhaPPA1-1,1
14-3-3zeta,VhaSFD,1
14-3-3zeta,vig,1
14-3-3zeta,vih,1
14-3-3zeta,Yippee,1
5PtaseI,CaMKII,1
5PtaseI,CanB,1
5PtaseI,CG17294,1
5PtaseI,CG1943,1
5PtaseI,CG3662,1
5PtaseI,CG42361,1
5PtaseI,CG7646,1
5PtaseI,ctp,1
5PtaseI,Dic1,1
5PtaseI,Gapdh2,1
5PtaseI,Gbeta5,1
5PtaseI,Gycalpha99B,1
5PtaseI,ringer,1
5PtaseI,TM4SF,1
7B2,Act5C,1
7B2,Alg-2,1
7B2,Alk,1
7B2,amon,1
7B2,Ank2,1
7B2,Appl,1
7B2,Arf79F,1
7B2,Argk1,1
7B2,Atox1,1
7B2,awd,1
7B2,Bacc,1
7B2,brat,1
7B2,CadN,1
7B2,Calr,1
7B2,Cals,1
7B2,CanB,1
7B2,cathD,1
7B2,CG10077,1
7B2,CG11000,1
7B2,CG11151,1
7B2,CG11360,1
7B2,CG12038,1
7B2,CG12071,1
7B2,CG12194,1
7B2,CG12605,1
7B2,CG13928,1
7B2,jus,1
7B2,CG14762,1
7B2,CG15098,1
7B2,CG15628,1
7B2,CG16779,1
7B2,aus,1
7B2,CG17841,1
7B2,CG1943,1
7B2,CG2269,1
7B2,CG2852,1
7B2,CG2918,1
7B2,CG30172,1
7B2,CG31030,1
7B2,CG31140,1
7B2,CG31221,1
7B2,CG32017,1
7B2,CG32432,1
7B2,CG32485,1
7B2,CG3262,1
7B2,CG32647,1
7B2,CG32700,1
7B2,CG32809,1
7B2,CG33181,1
7B2,CG33199,1
7B2,CG33543,1
7B2,CG40498,1
7B2,CG42260,1
7B2,CG42361,1
7B2,mtgo,1
7B2,CG42392,1
7B2,OtopLa,1
7B2,CG42540,1
7B2,CG43066,1
7B2,CG43324,1
7B2,Stacl,1
7B2,CG43737,1
7B2,CG4577,1
7B2,CG4612,1
7B2,CG5174,1
7B2,CG6329,1
7B2,CG7646,1
7B2,Srrm234,1
7B2,CG7990,1
7B2,CG8726,1
7B2,Lrp4,1
7B2,CG9391,1
7B2,CG9813,1
7B2,CG9919,1
7B2,CHOp24,1
7B2,cindr,1
7B2,Cirl,1
7B2,Cnx99A,1
7B2,Con,1
7B2,COX5A,1
7B2,Cp1,1
7B2,cpo,1
7B2,cpx,1
7B2,lncRNA:CR31451,1
7B2,ctp,1
7B2,CtsB,1
7B2,Cyp1,1
7B2,Df31,1
7B2,Dop2R,1
7B2,DopEcR,1
7B2,dpr19,1
7B2,dpr7,1
7B2,eca,1
7B2,eEF1alpha1,1
7B2,eEF1alpha2,1
7B2,eIF4EHP,1
7B2,Eip75B,1
7B2,elav,1
7B2,ERp60,1
7B2,fax,1
7B2,Fer1HCH,1
7B2,Fer2LCH,1
7B2,Flo1,1
7B2,fne,1
7B2,Frq1,1
7B2,ftz-f1,1
7B2,Gbeta13F,1
7B2,Gdi,1
7B2,Ggamma1,1
7B2,Ggamma30A,1
7B2,Hasp,1
7B2,His4r,1
7B2,HmgZ,1
