from,to,edge
Msp300,luna,1
Msp300,shot,1
Mur2B,br,1
Myc,br,1
Myc,dally,1
Myc,klar,1
Myc,kuz,1
Myc,l(3)80Fj,1
Myc,pre-rRNA:CR45845,1
Myc,pum,1
Myc,sdk,1
Myo81F,lovit,1
NFAT,jvl,1
Ogdh,bol,1
Nipped-A,Parp,1
Nuak,Tm1,1
Nuak,lncRNA:CR43459,1
Nuak,mub,1
PMCA,pan,1
Parp,Pli,1
Parp,RpLP2,1
Parp,caz,1
Parp,kuz,1
Parp,l(3)80Fj,1
Parp,lncRNA:CR34335,1
Parp,lola,1
Parp,mamo,1
Parp,rl,1
Parp,tai,1
Pli,Stlk,1
Pli,dally,1
Pli,kuz,1
Pli,sd,1
Pli,unc-13,1
Prosap,RapGAP1,1
Prosap,Wdr62,1
Prosap,ed,1
Prosap,hdc,1
Prosap,kek5,1
Prosap,kuz,1
Prosap,sick,1
Ptp10D,kek5,1
Rack1,RpL18,1
Rack1,RpL24,1
Rack1,RpL26,1
Rack1,RpL28,1
Rack1,RpL35A,1
Rack1,RpL4,1
Rack1,RpS12,1
Rack1,RpS15Aa,1
Rack1,RpS18,1
Rack1,RpS23,1
Rack1,RpS27A,1
Rack1,RpS30,1
Rack1,RpS6,1
RapGAP1,luna,1
RapGAP1,mtgo,1
RapGAP1,sdk,1
Rbp1-like,pan,1
RhoGAP71E,klar,1
RpL10,RpL10Ab,1
RpL10,RpL12,1
RpL10,RpL13,1
RpL10,RpL13A,1
RpL10,RpL14,1
RpL10,RpL15,1
RpL10,RpL17,1
RpL10,RpL18,1
RpL10,RpL18A,1
RpL10,RpL19,1
RpL10,RpL21,1
RpL10,RpL23,1
RpL10,RpL23A,1
RpL10,RpL24,1
RpL10,RpL26,1
RpL10,RpL27A,1
RpL10,RpL28,1
RpL10,RpL3,1
RpL10,RpL31,1
RpL10,RpL32,1
RpL10,RpL34b,1
RpL10,RpL35,1
RpL10,RpL36,1
RpL10,RpL37A,1
RpL10,RpL37a,1
RpL10,RpL39,1
RpL10,RpL4,1
RpL10,RpL40,1
RpL10,RpL41,1
RpL10,RpL6,1
RpL10,RpL7,1
RpL10,RpL7A,1
RpL10,RpL8,1
RpL10,RpL9,1
RpL10,RpLP0,1
