from	to	edge
RpL12	RpS17	1
RpL12	RpS19a	1
RpL12	RpS2	1
RpL12	RpS20	1
RpL12	RpS21	1
RpL12	RpS23	1
RpL12	RpS24	1
RpL12	RpS26	1
RpL12	RpS27A	1
RpL12	RpS28b	1
RpL12	RpS29	1
RpL12	RpS3	1
RpL12	RpS30	1
RpL12	RpS3A	1
RpL12	RpS4	1
RpL12	RpS5a	1
RpL12	RpS6	1
RpL12	RpS8	1
RpL12	RpS9	1
RpL12	sta	1
RpL13	RpL17	1
RpL13	RpL18	1
RpL13	RpL18A	1
RpL13	RpL21	1
RpL13	RpL23A	1
RpL13	RpL26	1
RpL13	RpL27	1
RpL13	RpL27A	1
RpL13	RpL28	1
RpL13	RpL31	1
RpL13	RpL32	1
RpL13	RpL35	1
RpL13	RpL4	1
RpL13	RpL5	1
RpL13	RpL6	1
RpL13	RpL7	1
RpL13	RpL7A	1
RpL13	RpL8	1
RpL13	RpL9	1
RpL13	RpLP1	1
RpL13	RpS10b	1
RpL13	RpS11	1
RpL13	RpS12	1
RpL13	RpS14a	1
RpL13	RpS15	1
RpL13	RpS15Aa	1
RpL13	RpS16	1
RpL13	RpS17	1
RpL13	RpS19a	1
RpL13	RpS2	1
RpL13	RpS20	1
RpL13	RpS21	1
RpL13	RpS24	1
RpL13	RpS26	1
RpL13	RpS28b	1
RpL13	RpS29	1
RpL13	RpS3	1
RpL13	RpS30	1
RpL13	RpS4	1
RpL13	RpS6	1
RpL13	RpS8	1
RpL13	RpS9	1
RpL13A	RpL18A	1
RpL13A	RpS12	1
RpL13A	RpS15	1
RpL13A	RpS29	1
RpL14	RpL17	1
RpL14	RpL18	1
RpL14	RpL21	1
RpL14	RpL23A	1
RpL14	RpL26	1
RpL14	RpL3	1
RpL14	RpL35	1
RpL14	RpL5	1
RpL14	RpL6	1
RpL14	RpL7	1
RpL14	RpL7A	1
RpL14	RpS12	1
RpL14	RpS14a	1
RpL14	RpS15	1
RpL14	RpS15Aa	1
RpL14	RpS2	1
RpL14	RpS21	1
RpL14	RpS28b	1
RpL14	RpS29	1
RpL14	RpS4	1
RpL14	RpS6	1
RpL14	RpS8	1
RpL14	RpS9	1
RpL14	sta	1
RpL17	RpL18	1
RpL17	RpL21	1
RpL17	RpL26	1
RpL17	RpL31	1
RpL17	RpL35	1
RpL17	RpL5	1
RpL17	RpL6	1
RpL17	RpL7	1
RpL17	RpL7A	1
RpL17	RpL8	1
RpL17	RpL9	1
RpL17	RpS10b	1
RpL17	RpS12	1
RpL17	RpS14a	1
RpL17	RpS15	1
RpL17	RpS15Aa	1
RpL17	RpS16	1
RpL17	RpS17	1
RpL17	RpS2	1
RpL17	RpS21	1
RpL17	RpS28b	1
RpL17	RpS29	1
RpL17	RpS3	1
RpL17	RpS30	1
RpL17	RpS4	1
RpL17	RpS5a	1
RpL17	RpS6	1
RpL17	RpS8	1
RpL17	sta	1
RpL18	RpL18A	1
RpL18	RpL21	1
RpL18	RpL22	1
RpL18	RpL23A	1
RpL18	RpL26	1
RpL18	RpL27	1
RpL18	RpL27A	1
RpL18	RpL31	1
RpL18	RpL32	1
RpL18	RpL34b	1
RpL18	RpL35	1
RpL18	RpL36A	1
RpL18	RpL4	1
RpL18	RpL5	1
RpL18	RpL6	1
RpL18	RpL7	1
RpL18	RpL7A	1
RpL18	RpL8	1
RpL18	RpL9	1
RpL18	RpLP0	1
RpL18	RpLP1	1
RpL18	RpS10b	1
RpL18	RpS11	1
RpL18	RpS12	1
RpL18	RpS14a	1
RpL18	RpS14b	1
RpL18	RpS15	1
RpL18	RpS15Aa	1
RpL18	RpS16	1
RpL18	RpS17	1
RpL18	RpS19a	1
RpL18	RpS2	1
RpL18	RpS20	1
RpL18	RpS21	1
RpL18	RpS23	1
RpL18	RpS24	1
RpL18	RpS26	1
RpL18	RpS28b	1
RpL18	RpS29	1
RpL18	RpS3	1
RpL18	RpS30	1
RpL18	RpS4	1
RpL18	RpS5a	1
RpL18	RpS6	1
RpL18	RpS8	1
RpL18	RpS9	1
RpL18	sta	1
RpL18A	RpL21	1
RpL18A	RpL23A	1
RpL18A	RpL26	1
RpL18A	RpL27	1
RpL18A	RpL28	1
RpL18A	RpL3	1
RpL18A	RpL31	1
RpL18A	RpL32	1
RpL18A	RpL35	1
RpL18A	RpL4	1
RpL18A	RpL6	1
RpL18A	RpL7	1
RpL18A	RpL7A	1
RpL18A	RpL8	1
RpL18A	RpLP0	1
RpL18A	RpLP1	1
RpL18A	RpLP2	1
RpL18A	RpS10b	1
RpL18A	RpS11	1
RpL18A	RpS12	1
RpL18A	RpS13	1
RpL18A	RpS15	1
RpL18A	RpS15Aa	1
RpL18A	RpS16	1
RpL18A	RpS17	1
RpL18A	RpS19a	1
RpL18A	RpS2	1
RpL18A	RpS20	1
RpL18A	RpS21	1
RpL18A	RpS24	1
RpL18A	RpS28b	1
RpL18A	RpS29	1
RpL18A	RpS3	1
RpL18A	RpS4	1
RpL18A	RpS5a	1
RpL18A	RpS6	1
RpL18A	RpS8	1
RpL18A	RpS9	1
RpL18A	sta	1
RpL21	RpL22	1
RpL21	RpL23A	1
RpL21	RpL26	1
RpL21	RpL27	1
RpL21	RpL27A	1
RpL21	RpL28	1
RpL21	RpL31	1
RpL21	RpL32	1
RpL21	RpL34b	1
RpL21	RpL35	1
RpL21	RpL36A	1
RpL21	RpL4	1
RpL21	RpL5	1
RpL21	RpL6	1
RpL21	RpL7	1
