PPI,Positive_environment_number,SD,H2O2,Hydroxyurea,Doxorubicin,Forskolin,Raffinose,NaCl,Cold_16C,FK506
YNL130C_YHR123W,2,0,0,1,0,1,0,0,0,0
YMR109W_YNR035C,5,0,0,1,1,1,1,0,0,1
YJR010C-A_YAR002C-A,4,0,0,1,0,0,1,0,1,1
YJR118C_YML101C,3,0,0,1,0,0,1,0,1,0
YBR106W_YPR113W,3,0,0,1,0,0,1,0,1,0
YAR002C-A_YJL117W,3,0,0,1,0,0,1,0,0,1
YLR337C_YBL007C,3,0,0,1,1,0,1,0,0,0
YIL027C_YDL212W,4,0,0,1,0,0,1,0,1,1
YBR106W_YLR056W,3,0,0,1,0,0,1,0,0,1
YMR300C_YOL147C,2,0,0,1,0,0,1,0,0,0
YBR106W_YML123C,3,0,0,1,1,0,0,0,0,1
YDR497C_YML123C,2,0,0,1,0,0,0,0,0,1
YNL138W_YGR080W,3,0,0,1,0,0,1,0,0,1
YGL077C_YOR273C,2,0,0,0,1,0,0,0,0,1
YML123C_YJL192C,2,0,0,0,1,0,0,0,0,1
YGR138C_YDL222C,2,0,0,0,1,0,0,1,0,0
YGR105W_YML012W,3,0,0,0,1,0,1,0,0,1
YJL153C_YKR080W,3,0,0,0,0,1,1,0,0,1
YML012W_YGL055W,3,0,0,0,0,0,1,0,1,1
YKR080W_YMR105C,2,0,0,0,0,0,1,1,0,0
YLR370C_YKR080W,1,0,0,0,0,0,1,0,0,0
YEL031W_YML086C,1,0,0,0,0,0,1,0,0,0
YML012W_YOL147C,1,0,0,0,0,0,1,0,0,0
YIL034C_YLR370C,2,0,0,0,0,0,1,0,0,1
YJL153C_YMR300C,1,0,0,0,0,0,1,0,0,0
YOL147C_YIR038C,1,0,0,0,0,0,1,0,0,0
YDL212W_YLR432W,1,0,0,0,0,0,1,0,0,0
YDL212W_YNL007C,1,0,0,0,0,0,1,0,0,0
YPR028W_YDR100W,1,0,0,0,0,0,1,0,0,0
YDR100W_YEL031W,2,0,0,0,0,0,1,0,0,1
YEL031W_YOL147C,1,0,0,0,0,0,1,0,0,0
YKR080W_YIL034C,1,0,0,0,0,0,1,0,0,0
YDR508C_YIL027C,2,0,0,0,0,0,1,0,1,0
YIL138C_YJL153C,1,0,0,0,0,0,1,0,0,0
YMR292W_YML012W,1,0,0,0,0,0,1,0,0,0
YMR058W_YHR146W,1,0,0,0,0,0,1,0,0,0
YDR152W_YKR080W,2,0,0,0,0,0,1,0,0,1
YKR080W_YKL067W,1,0,0,0,0,0,1,0,0,0
YPR028W_YOL147C,3,0,0,0,0,0,1,0,1,1
YER056C_YDL222C,1,0,0,0,0,0,0,1,0,0
YDL222C_YML072C,1,0,0,0,0,0,0,1,0,0
YEL031W_YHR096C,1,0,0,0,0,0,0,1,0,0
YHR096C_YER056C,1,0,0,0,0,0,0,1,0,0
YHR096C_YMR058W,1,0,0,0,0,0,0,1,0,0
YIL027C_YDR497C,1,0,0,0,0,0,0,0,1,0
YGL077C_YLL028W,2,0,0,0,0,0,0,0,1,1
YLL028W_YEL031W,2,0,0,0,0,0,0,0,1,1
YLL028W_YDR011W,1,0,0,0,0,0,0,0,0,1
YLL028W_YDR497C,1,0,0,0,0,0,0,0,0,1
YEL017C-A_YFL005W,8,1,1,1,1,1,1,1,0,1
YML016C_YAR002C-A,3,1,1,0,0,1,0,0,0,0
YDL109C_YGR229C,9,1,1,1,1,1,1,1,1,1
YDR233C_YML012W,9,1,1,1,1,1,1,1,1,1
YPR176C_YNL238W,1,1,0,0,0,0,0,0,0,0
YMR058W_YER145C,8,1,1,1,1,1,1,1,0,1
YGR175C_YPR113W,6,1,1,1,0,0,1,0,1,1
YKL212W_YEL002C,9,1,1,1,1,1,1,1,1,1
YOR204W_YML012W,1,1,0,0,0,0,0,0,0,0
YDL109C_YPR060C,7,1,1,1,0,1,1,1,0,1
YDL109C_YPL246C,3,1,0,0,0,0,1,0,0,1
YGR055W_YER145C,7,1,1,1,1,1,1,1,0,0
YHR094C_YER056C,5,1,1,1,0,1,0,1,0,0
YCR043C_YKL212W,2,1,0,0,0,0,1,0,0,0
YGR106C_YGR105W,8,1,1,1,1,1,1,1,0,1
YGL225W_YGR060W,8,1,1,1,1,1,1,1,0,1
YDL109C_YOR276W,7,1,1,1,1,1,1,0,0,1
YJL097W_YMR149W,5,1,1,0,0,1,1,0,0,1
YNL084C_YNL243W,9,1,1,1,1,1,1,1,1,1
YJL097W_YEL031W,7,1,1,1,1,1,1,0,0,1
YKL212W_YMR123W,7,1,1,1,1,1,1,0,1,0
YCL025C_YER044C,7,1,1,0,0,1,1,1,1,1
YDL109C_YMR105C,9,1,1,1,1,1,1,1,1,1
YHR094C_YGR138C,7,1,1,1,0,1,1,1,0,1
YDR233C_YDL212W,7,1,1,1,0,1,1,1,0,1
YPL058C_YIL027C,7,1,1,1,1,0,1,0,1,1
YOR254C_YEL031W,9,1,1,1,1,1,1,1,1,1
YOR204W_YJL092W,5,1,1,1,1,0,0,1,0,0
YHR094C_YDR508C,4,1,1,1,0,0,0,1,0,0
YHR179W_YMR300C,6,1,1,1,1,1,0,0,0,1
YJL178C_YBL102W,5,1,1,1,0,0,1,1,0,0
YGL120C_YNL225C,1,1,0,0,0,0,0,0,0,0
YEL031W_YDL052C,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YMR149W,9,1,1,1,1,1,1,1,1,1
YGR119C_YLR335W,8,1,1,1,1,1,1,1,0,1
YCL037C_YNL255C,9,1,1,1,1,1,1,1,1,1
YHL003C_YKL008C,9,1,1,1,1,1,1,1,1,1
YIL124W_YJL151C,8,1,1,1,1,1,0,1,1,1
YHR094C_YER145C,5,1,1,0,1,1,0,1,0,0
YBR011C_YKR007W,1,1,0,0,0,0,0,0,0,0
YDL109C_YDR272W,5,1,1,1,0,0,1,0,0,1
YKL207W_YGR060W,8,1,1,1,1,1,1,1,1,0
YDR293C_YMR300C,1,1,0,0,0,0,0,0,0,0
YAR002C-A_YMR123W,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YDR297W,9,1,1,1,1,1,1,1,1,1
YER136W_YCR021C,4,1,1,1,0,1,0,0,0,0
YBR171W_YLR292C,6,1,0,1,0,1,1,1,0,1
YGL099W_YPR016C,8,1,1,1,1,1,1,1,0,1
YCL025C_YBR106W,9,1,1,1,1,1,1,1,1,1
YPL058C_YML072C,9,1,1,1,1,1,1,1,1,1
YEL017C-A_YIL016W,7,1,1,1,1,1,1,0,0,1
YFR051C_YGL203C,7,1,1,1,1,1,1,0,0,1
YPL058C_YLL028W,9,1,1,1,1,1,1,1,1,1
YJL002C_YDL212W,8,1,1,1,1,1,1,1,0,1
YDR345C_YKL051W,2,1,1,0,0,0,0,0,0,0
YCR034W_YML012W,7,1,1,1,0,1,1,1,0,1
YER056C_YJL192C,9,1,1,1,1,1,1,1,1,1
YGL202W_YPR028W,5,1,1,0,0,1,0,1,1,0
YHR072W-A_YJL148W,5,1,1,1,0,1,0,0,0,1
YPL145C_YDL123W,5,1,1,1,0,1,1,0,0,0
YDL208W_YHR089C,8,1,1,1,1,1,1,0,1,1
YKL212W_YGR060W,8,1,1,1,1,1,1,1,0,1
YCR077C_YNL118C,9,1,1,1,1,1,1,1,1,1
YDR233C_YDR297W,5,1,1,0,0,0,1,1,0,1
YML016C_YGL055W,6,1,1,1,0,1,1,0,0,1
YKL212W_YGL055W,9,1,1,1,1,1,1,1,1,1
YML086C_YBR177C,9,1,1,1,1,1,1,1,1,1
YHR039C_YPR113W,7,1,1,1,1,1,1,0,0,1
YER070W_YOL147C,7,1,1,1,1,1,1,0,0,1
YDR068W_YDR100W,6,1,1,1,0,1,1,0,0,1
YDL018C_YKL165C,9,1,1,1,1,1,1,1,1,1
YDR345C_YDL222C,3,1,1,0,0,0,0,1,0,0
YKR097W_YKR080W,3,1,1,0,0,1,0,0,0,0
YBR023C_YHR142W,3,1,0,1,0,0,1,0,0,0
YLL034C_YER020W,2,1,1,0,0,0,0,0,0,0
YER053C-A_YEL031W,8,1,1,1,1,1,1,1,0,1
YIL090W_YEL031W,8,1,1,1,1,1,1,1,0,1
YER136W_YFL038C,9,1,1,1,1,1,1,1,1,1
YDL109C_YGR020C,7,1,1,1,0,1,1,1,0,1
YHR007C_YIL043C,5,1,1,1,1,0,1,0,0,0
YPL058C_YBR244W,6,1,1,1,1,1,0,0,1,0
YEL031W_YOR002W,6,1,1,1,0,1,1,0,0,1
YLR395C_YHR001W-A,5,1,1,1,0,0,1,0,0,1
YGL225W_YJL029C,1,1,0,0,0,0,0,0,0,0
YDL109C_YOR323C,8,1,1,1,1,1,1,1,0,1
YHR007C_YEL031W,9,1,1,1,1,1,1,1,1,1
YJL002C_YMR123W,9,1,1,1,1,1,1,1,1,1
