module	gene	color	rgb
4	EMC4	#0072B2FF	0-114-178
4	CG11454	#0072B2FF	0-114-178
4	CG1161	#0072B2FF	0-114-178
4	CG11658	#0072B2FF	0-114-178
4	CG12004	#0072B2FF	0-114-178
4	CG12343	#0072B2FF	0-114-178
4	CG12822	#0072B2FF	0-114-178
4	CG13344	#0072B2FF	0-114-178
4	CG13364	#0072B2FF	0-114-178
4	CG13585	#0072B2FF	0-114-178
4	CG13760	#0072B2FF	0-114-178
4	CG13920	#0072B2FF	0-114-178
4	CG13937	#0072B2FF	0-114-178
4	CG14408	#0072B2FF	0-114-178
4	CG14591	#0072B2FF	0-114-178
4	CG14767	#0072B2FF	0-114-178
4	CG14989	#0072B2FF	0-114-178
4	CG15012	#0072B2FF	0-114-178
4	Ypel	#0072B2FF	0-114-178
4	CG15772	#0072B2FF	0-114-178
4	CG1695	#0072B2FF	0-114-178
4	CG17059	#0072B2FF	0-114-178
4	CG17168	#0072B2FF	0-114-178
4	CG17272	#0072B2FF	0-114-178
4	CG17294	#0072B2FF	0-114-178
4	EMC2A	#0072B2FF	0-114-178
4	CG17778	#0072B2FF	0-114-178
4	CG18766	#0072B2FF	0-114-178
4	CG1909	#0072B2FF	0-114-178
4	CG1943	#0072B2FF	0-114-178
4	CG1998	#0072B2FF	0-114-178
4	CG2017	#0072B2FF	0-114-178
4	CG2182	#0072B2FF	0-114-178
4	CG2790	#0072B2FF	0-114-178
4	CG30392	#0072B2FF	0-114-178
4	CG3040	#0072B2FF	0-114-178
4	CG30423	#0072B2FF	0-114-178
4	CG31030	#0072B2FF	0-114-178
4	Ifrd1	#0072B2FF	0-114-178
4	CG31715	#0072B2FF	0-114-178
4	CG31717	#0072B2FF	0-114-178
4	CG31808	#0072B2FF	0-114-178
4	CG31855	#0072B2FF	0-114-178
4	Svip	#0072B2FF	0-114-178
4	CG32109	#0072B2FF	0-114-178
4	CG32276	#0072B2FF	0-114-178
4	CG32485	#0072B2FF	0-114-178
4	CG33181	#0072B2FF	0-114-178
4	CG34125	#0072B2FF	0-114-178
4	CG34159	#0072B2FF	0-114-178
4	CG34293	#0072B2FF	0-114-178
4	CG3436	#0072B2FF	0-114-178
4	CG34404	#0072B2FF	0-114-178
4	CG3625	#0072B2FF	0-114-178
4	CG3662	#0072B2FF	0-114-178
4	CG3703	#0072B2FF	0-114-178
4	CG3793	#0072B2FF	0-114-178
4	CG3860	#0072B2FF	0-114-178
