gene	module	color	rgb
Syt4	1	#E69F00FF	230-159-0
Teh1	1	#E69F00FF	230-159-0
Teh2	1	#E69F00FF	230-159-0
Ten-a	1	#E69F00FF	230-159-0
Tet	1	#E69F00FF	230-159-0
tipE	1	#E69F00FF	230-159-0
tna	1	#E69F00FF	230-159-0
Tob	1	#E69F00FF	230-159-0
Tomosyn	1	#E69F00FF	230-159-0
Tsp97E	1	#E69F00FF	230-159-0
ttv	1	#E69F00FF	230-159-0
tty	1	#E69F00FF	230-159-0
tutl	1	#E69F00FF	230-159-0
unc-104	1	#E69F00FF	230-159-0
unc-119	1	#E69F00FF	230-159-0
unc-13	1	#E69F00FF	230-159-0
unc79	1	#E69F00FF	230-159-0
Vap33	1	#E69F00FF	230-159-0
VGlut	1	#E69F00FF	230-159-0
wech	1	#E69F00FF	230-159-0
X11Lbeta	1	#E69F00FF	230-159-0
Ythdc1	1	#E69F00FF	230-159-0
14-3-3epsilon	2	#009E73FF	0-158-115
7B2	2	#009E73FF	0-158-115
Alg-2	2	#009E73FF	0-158-115
amon	2	#009E73FF	0-158-115
Arf79F	2	#009E73FF	0-158-115
Bacc	2	#009E73FF	0-158-115
boca	2	#009E73FF	0-158-115
CG10098	2	#009E73FF	0-158-115
CG11151	2	#009E73FF	0-158-115
CG12038	2	#009E73FF	0-158-115
CG12194	2	#009E73FF	0-158-115
CG13551	2	#009E73FF	0-158-115
CG17841	2	#009E73FF	0-158-115
CG1927	2	#009E73FF	0-158-115
CG2269	2	#009E73FF	0-158-115
CG2852	2	#009E73FF	0-158-115
CG30172	2	#009E73FF	0-158-115
CG30389	2	#009E73FF	0-158-115
CG31064	2	#009E73FF	0-158-115
CG31140	2	#009E73FF	0-158-115
CG3257	2	#009E73FF	0-158-115
CG3262	2	#009E73FF	0-158-115
CG33129	2	#009E73FF	0-158-115
CG3566	2	#009E73FF	0-158-115
CG42336	2	#009E73FF	0-158-115
mtgo	2	#009E73FF	0-158-115
CG42748	2	#009E73FF	0-158-115
CG43324	2	#009E73FF	0-158-115
CG46280	2	#009E73FF	0-158-115
CG4658	2	#009E73FF	0-158-115
CG5027	2	#009E73FF	0-158-115
CG5174	2	#009E73FF	0-158-115
CG5532	2	#009E73FF	0-158-115
CG7484	2	#009E73FF	0-158-115
Ciz1	2	#009E73FF	0-158-115
ReepB	2	#009E73FF	0-158-115
CG8726	2	#009E73FF	0-158-115
CG8860	2	#009E73FF	0-158-115
CG9132	2	#009E73FF	0-158-115
CG9391	2	#009E73FF	0-158-115
CG9646	2	#009E73FF	0-158-115
CG9919	2	#009E73FF	0-158-115
CDC50	2	#009E73FF	0-158-115
Cirl	2	#009E73FF	0-158-115
Cnx99A	2	#009E73FF	0-158-115
Cp1	2	#009E73FF	0-158-115
CtsB	2	#009E73FF	0-158-115
Dad1	2	#009E73FF	0-158-115
Desat1	2	#009E73FF	0-158-115
Df31	2	#009E73FF	0-158-115
dpr19	2	#009E73FF	0-158-115
E2f1	2	#009E73FF	0-158-115
eca	2	#009E73FF	0-158-115
eEF1delta	2	#009E73FF	0-158-115
eEF5	2	#009E73FF	0-158-115
ERp60	2	#009E73FF	0-158-115
fax	2	#009E73FF	0-158-115
Fer1HCH	2	#009E73FF	0-158-115
Fer2LCH	2	#009E73FF	0-158-115
Flo1	2	#009E73FF	0-158-115
Galphas	2	#009E73FF	0-158-115
Gbeta13F	2	#009E73FF	0-158-115
Gdi	2	#009E73FF	0-158-115
His3.3B	2	#009E73FF	0-158-115
Klp64D	2	#009E73FF	0-158-115
Kdm5	2	#009E73FF	0-158-115
loqs	2	#009E73FF	0-158-115
Lpin	2	#009E73FF	0-158-115
Manf	2	#009E73FF	0-158-115
Mob4	2	#009E73FF	0-158-115
Nedd8	2	#009E73FF	0-158-115
Nf1	2	#009E73FF	0-158-115
Nlp	2	#009E73FF	0-158-115
Nmda1	2	#009E73FF	0-158-115
Non2	2	#009E73FF	0-158-115
NUCB1	2	#009E73FF	0-158-115
Pal2	2	#009E73FF	0-158-115
Pcd	2	#009E73FF	0-158-115
Pdi	2	#009E73FF	0-158-115
PlexA	2	#009E73FF	0-158-115
pnut	2	#009E73FF	0-158-115
poly	2	#009E73FF	0-158-115
Prosbeta2	2	#009E73FF	0-158-115
Ptpmeg2	2	#009E73FF	0-158-115
Rab11	2	#009E73FF	0-158-115
Ric	2	#009E73FF	0-158-115
Rpt1	2	#009E73FF	0-158-115
Scamp	2	#009E73FF	0-158-115
Sec61gamma	2	#009E73FF	0-158-115
Septin2	2	#009E73FF	0-158-115
Smox	2	#009E73FF	0-158-115
Spase12	2	#009E73FF	0-158-115
Spase22-23	2	#009E73FF	0-158-115
Spase25	2	#009E73FF	0-158-115
Spred	2	#009E73FF	0-158-115
svr	2	#009E73FF	0-158-115
Swip-1	2	#009E73FF	0-158-115
Taf10b	2	#009E73FF	0-158-115
Tm1	2	#009E73FF	0-158-115
tow	2	#009E73FF	0-158-115
twr	2	#009E73FF	0-158-115
Uev1A	2	#009E73FF	0-158-115
vsg	2	#009E73FF	0-158-115
Xbp1	2	#009E73FF	0-158-115
mAcon1	3	#F0E442FF	240-228-66
Acsl	3	#F0E442FF	240-228-66
Acyp2	3	#F0E442FF	240-228-66
Adk3	3	#F0E442FF	240-228-66
Alas	3	#F0E442FF	240-228-66
alphaTub84D	3	#F0E442FF	240-228-66
AnxB10	3	#F0E442FF	240-228-66
AP-1sigma	3	#F0E442FF	240-228-66
AP-2sigma	3	#F0E442FF	240-228-66
Argk1	3	#F0E442FF	240-228-66
Arpc3A	3	#F0E442FF	240-228-66
ATPsynB	3	#F0E442FF	240-228-66
ATPsynC	3	#F0E442FF	240-228-66
ATPsynCF6	3	#F0E442FF	240-228-66
ATPsynD	3	#F0E442FF	240-228-66
ATPsyndelta	3	#F0E442FF	240-228-66
ATPsynE	3	#F0E442FF	240-228-66
ATPsynF	3	#F0E442FF	240-228-66
ATPsynG	3	#F0E442FF	240-228-66
ATPsyngamma	3	#F0E442FF	240-228-66
ATPsynO	3	#F0E442FF	240-228-66
Baldspot	3	#F0E442FF	240-228-66
Bet5	3	#F0E442FF	240-228-66
blw	3	#F0E442FF	240-228-66
bonsai	3	#F0E442FF	240-228-66
bsk	3	#F0E442FF	240-228-66
Cbp20	3	#F0E442FF	240-228-66
Cchl	3	#F0E442FF	240-228-66
Ccm3	3	#F0E442FF	240-228-66
CG10075	3	#F0E442FF	240-228-66
CG10214	3	#F0E442FF	240-228-66
CG10340	3	#F0E442FF	240-228-66
CG10561	3	#F0E442FF	240-228-66
nebu	3	#F0E442FF	240-228-66
CG11035	3	#F0E442FF	240-228-66
CG11076	3	#F0E442FF	240-228-66
CG11267	3	#F0E442FF	240-228-66
Xxylt	3	#F0E442FF	240-228-66
CG11699	3	#F0E442FF	240-228-66
CG11722	3	#F0E442FF	240-228-66
CG11752	3	#F0E442FF	240-228-66
EMC6	3	#F0E442FF	240-228-66
Pdhb	3	#F0E442FF	240-228-66
CG12084	3	#F0E442FF	240-228-66
CG12091	3	#F0E442FF	240-228-66
Nfs1	3	#F0E442FF	240-228-66
CG12279	3	#F0E442FF	240-228-66
CG1265	3	#F0E442FF	240-228-66
CG12848	3	#F0E442FF	240-228-66
CG12895	3	#F0E442FF	240-228-66
CG1307	3	#F0E442FF	240-228-66
CG13220	3	#F0E442FF	240-228-66
CG13365	3	#F0E442FF	240-228-66
CG13601	3	#F0E442FF	240-228-66
CG13623	3	#F0E442FF	240-228-66
CG13751	3	#F0E442FF	240-228-66
CG13868	3	#F0E442FF	240-228-66
CG14407	3	#F0E442FF	240-228-66
CG14483	3	#F0E442FF	240-228-66
CG14721	3	#F0E442FF	240-228-66
CG14757	3	#F0E442FF	240-228-66
CG14777	3	#F0E442FF	240-228-66
Coa8	3	#F0E442FF	240-228-66
CG14817	3	#F0E442FF	240-228-66
CG14818	3	#F0E442FF	240-228-66
CG15432	3	#F0E442FF	240-228-66
CG15456	3	#F0E442FF	240-228-66
CG15771	3	#F0E442FF	240-228-66
CG15891	3	#F0E442FF	240-228-66
CG15908	3	#F0E442FF	240-228-66
CG15916	3	#F0E442FF	240-228-66
CG15922	3	#F0E442FF	240-228-66
CG1598	3	#F0E442FF	240-228-66
CG1640	3	#F0E442FF	240-228-66
p23	3	#F0E442FF	240-228-66
CG16935	3	#F0E442FF	240-228-66
CG16986	3	#F0E442FF	240-228-66
CG17385	3	#F0E442FF	240-228-66
CG17493	3	#F0E442FF	240-228-66
CG17593	3	#F0E442FF	240-228-66
CG17698	3	#F0E442FF	240-228-66
CG17734	3	#F0E442FF	240-228-66
CG17776	3	#F0E442FF	240-228-66
CG17996	3	#F0E442FF	240-228-66
Nt5c	3	#F0E442FF	240-228-66
CG18508	3	#F0E442FF	240-228-66
CG18549	3	#F0E442FF	240-228-66
Apt1	3	#F0E442FF	240-228-66
CG1907	3	#F0E442FF	240-228-66
CG2076	3	#F0E442FF	240-228-66
Stoml2	3	#F0E442FF	240-228-66
CG30373	3	#F0E442FF	240-228-66
CG3061	3	#F0E442FF	240-228-66
CG31229	3	#F0E442FF	240-228-66
CG31637	3	#F0E442FF	240-228-66
CG31800	3	#F0E442FF	240-228-66
